,Mean Actual Retained Bits,actual_bits,actual_strata,bits_error,differentia,policy,resolution,target_bits,_
0,63.0,63,63,-1,1,TaperedDepthProportionalResolution,31,64,actual_bits=63+actual_strata=63+bits_error=-1+differentia=1+policy=TaperedDepthProportionalResolution+resolution=31+target_bits=64
1,56.0,56,7,-8,8,TaperedDepthProportionalResolution,3,64,actual_bits=56+actual_strata=7+bits_error=-8+differentia=8+policy=TaperedDepthProportionalResolution+resolution=3+target_bits=64
2,192.0,192,3,128,64,TaperedDepthProportionalResolution,1,64,actual_bits=192+actual_strata=3+bits_error=128+differentia=64+policy=TaperedDepthProportionalResolution+resolution=1+target_bits=64
3,510.09589041095893,511,511,-1,1,TaperedDepthProportionalResolution,255,512,actual_bits=511+actual_strata=511+bits_error=-1+differentia=1+policy=TaperedDepthProportionalResolution+resolution=255+target_bits=512
4,504.0,504,63,-8,8,TaperedDepthProportionalResolution,31,512,actual_bits=504+actual_strata=63+bits_error=-8+differentia=8+policy=TaperedDepthProportionalResolution+resolution=31+target_bits=512
5,448.0,448,7,-64,64,TaperedDepthProportionalResolution,3,512,actual_bits=448+actual_strata=7+bits_error=-64+differentia=64+policy=TaperedDepthProportionalResolution+resolution=3+target_bits=512
6,4096.0,4096,4096,0,1,TaperedDepthProportionalResolution,2048,4096,actual_bits=4096+actual_strata=4096+bits_error=0+differentia=1+policy=TaperedDepthProportionalResolution+resolution=2048+target_bits=4096
7,4080.7671232876714,4088,511,-8,8,TaperedDepthProportionalResolution,255,4096,actual_bits=4088+actual_strata=511+bits_error=-8+differentia=8+policy=TaperedDepthProportionalResolution+resolution=255+target_bits=4096
8,4032.0,4032,63,-64,64,TaperedDepthProportionalResolution,31,4096,actual_bits=4032+actual_strata=63+bits_error=-64+differentia=64+policy=TaperedDepthProportionalResolution+resolution=31+target_bits=4096
9,58.178082191780824,59,59,-5,1,RecencyProportionalResolution,5,64,actual_bits=59+actual_strata=59+bits_error=-5+differentia=1+policy=RecencyProportionalResolution+resolution=5+target_bits=64
10,49.42465753424658,56,7,-8,8,RecencyProportionalResolution,0,64,actual_bits=56+actual_strata=7+bits_error=-8+differentia=8+policy=RecencyProportionalResolution+resolution=0+target_bits=64
11,395.3972602739726,448,7,384,64,RecencyProportionalResolution,0,64,actual_bits=448+actual_strata=7+bits_error=384+differentia=64+policy=RecencyProportionalResolution+resolution=0+target_bits=64
12,506.17808219178085,507,507,-5,1,RecencyProportionalResolution,71,512,actual_bits=507+actual_strata=507+bits_error=-5+differentia=1+policy=RecencyProportionalResolution+resolution=71+target_bits=512
13,465.4246575342466,472,59,-40,8,RecencyProportionalResolution,5,512,actual_bits=472+actual_strata=59+bits_error=-40+differentia=8+policy=RecencyProportionalResolution+resolution=5+target_bits=512
14,395.3972602739726,448,7,-64,64,RecencyProportionalResolution,0,512,actual_bits=448+actual_strata=7+bits_error=-64+differentia=64+policy=RecencyProportionalResolution+resolution=0+target_bits=512
15,4096.986301369863,4096,4096,0,1,RecencyProportionalResolution,1596,4096,actual_bits=4096+actual_strata=4096+bits_error=0+differentia=1+policy=RecencyProportionalResolution+resolution=1596+target_bits=4096
16,4049.4246575342468,4056,507,-40,8,RecencyProportionalResolution,71,4096,actual_bits=4056+actual_strata=507+bits_error=-40+differentia=8+policy=RecencyProportionalResolution+resolution=71+target_bits=4096
17,3723.3972602739727,3776,59,-320,64,RecencyProportionalResolution,5,4096,actual_bits=3776+actual_strata=59+bits_error=-320+differentia=64+policy=RecencyProportionalResolution+resolution=5+target_bits=4096
