,index,id,ancestor_list,origin_time,branch_length,name,Origin Time Lower Bound (Inclusive),Origin Time Upper Bound (Exclusive),Origin Time Estimate,Treatment,Algorithm
0,0,0,[None],20.5,20.5,Inner8,16.0,26.0,20.5,differentia=1+policy=RecencyProportionalResolution+target=4096,<function upgma at 0x7fc44e78ad30>
1,1,1,[0],22.5,2.0,Inner6,18.0,28.0,22.5,differentia=1+policy=RecencyProportionalResolution+target=4096,<function upgma at 0x7fc44e78ad30>
2,2,2,[1],5000.0,4977.5,47626,5000.0,5001.0,5000.0,differentia=1+policy=RecencyProportionalResolution+target=4096,<function upgma at 0x7fc44e78ad30>
3,3,3,[1],26.5,4.0,Inner3,22.0,32.0,26.5,differentia=1+policy=RecencyProportionalResolution+target=4096,<function upgma at 0x7fc44e78ad30>
4,4,4,[3],28.5,2.0,Inner2,24.0,34.0,28.5,differentia=1+policy=RecencyProportionalResolution+target=4096,<function upgma at 0x7fc44e78ad30>
5,5,5,[4],5001.0,4972.5,47641,5001.0,5002.0,5001.0,differentia=1+policy=RecencyProportionalResolution+target=4096,<function upgma at 0x7fc44e78ad30>
6,6,6,[4],32.5,4.0,Inner1,28.0,38.0,32.5,differentia=1+policy=RecencyProportionalResolution+target=4096,<function upgma at 0x7fc44e78ad30>
7,7,7,[6],5001.0,4968.5,47639,5001.0,5002.0,5001.0,differentia=1+policy=RecencyProportionalResolution+target=4096,<function upgma at 0x7fc44e78ad30>
8,8,8,[6],5001.0,4968.5,47642,5001.0,5002.0,5001.0,differentia=1+policy=RecencyProportionalResolution+target=4096,<function upgma at 0x7fc44e78ad30>
9,9,9,[3],5001.0,4974.5,47643,5001.0,5002.0,5001.0,differentia=1+policy=RecencyProportionalResolution+target=4096,<function upgma at 0x7fc44e78ad30>
10,10,10,[0],22.5,2.0,Inner7,18.0,28.0,22.5,differentia=1+policy=RecencyProportionalResolution+target=4096,<function upgma at 0x7fc44e78ad30>
11,11,11,[10],24.5,2.0,Inner5,20.0,30.0,24.5,differentia=1+policy=RecencyProportionalResolution+target=4096,<function upgma at 0x7fc44e78ad30>
12,12,12,[11],5000.0,4975.5,47633,5000.0,5001.0,5000.0,differentia=1+policy=RecencyProportionalResolution+target=4096,<function upgma at 0x7fc44e78ad30>
